Scientific Name,Common Name,Rarity Status
Ceanothus jepsonii,Jepson ceanothus,G3
Ceanothus lemmonii,Lemmon's ceanothus,G3?
Ceanothus leucodermis,chaparral whitethorn,G3?
Ceanothus maritimus,maritime ceanothus,G2
Ceanothus masonii,Mason's ceanothus,G1
Ceanothus megacarpus var. insularis,island ceanothus,G5T3
Ceanothus ophiochilus,Vail Lake ceanothus,G1
Ceanothus otayensis,ceanothus,G1
Ceanothus palmeri,Palmer ceanothus,G2G3
Ceanothus papillosus,wartleaf ceanothus,G3?
Ceanothus parryi,Parry ceanothus,G3?
Ceanothus parvifolius,littleleaf ceanothus,G3?
Ceanothus pinetorum,Coville ceanothus,G3
Ceanothus pumilus,dwarf ceanothus,G3?
Ceanothus purpureus,hollyleaf ceanothus,G2
Ceanothus roderickii,Pine Hill buckbrush,G1
Ceanothus serpyllifolius,coastal plain buckbrush,G3?Q
Ceanothus sonomensis,Sonoma ceanothus,G2
Ceanothus sorediatus,jimbrush,G3?
Ceanothus tomentosus,woolyleaf ceanothus,G3?
Ceanothus verrucosus,barranca brush,G3
Celtis lindheimeri,Lindheimer's hackberry,G3Q
Cenchrus agrimonioides,kamanomano,G1
Cenchrus agrimonioides var. agrimonioides,kamanomano,G1T1
Cenchrus agrimonioides var. laysanensis,kamanomano,G1TH
Centaurium davyi,Davy's centaury,G3?
Centaurium sebaeoides,lavaslope centaury,G2
Centaurium trichanthum,alkali centaury,G3?
Centaurium venustum,charming centaury,G3?
Centrosema arenicola,pineland butterfly pea,G2Q
Cephalozia affinis,,G2G3
Cephalozia bicuspidata ssp. ambigua,,G5T3T4Q
Cephalozia bicuspidata ssp. lammersiana,,G5T3T4
Cephalozia bicuspidata ssp. otaruensis,,G5T3T4
Cephalozia connivens var. bifida,,G5T1Q
Cephalozia connivens var. compacta,,G5T2T4
Cephalozia lacinulata,,G3
Cephalozia macounii,,G3
Cephalozia macrostachya ssp. australis,,G4T1
Cephalozia pleniceps var. caroliniana,,G5T1
Cephaloziella brinkmani,,G1
Cephaloziella grimsulana,,G2G4
Cephaloziella grimsulana var. angustiloba,,G2G4TUQ
Cephaloziella grimsulana var. grimsulana,,G2G4TU
Cephaloziella integerrima,,G3?
Cephaloziella minima,,G1?
Cephaloziella obtusilobula,,G1?Q
Cephaloziella patulifolia,,G2G4
Cephaloziella phyllacantha,,G1?
Cephaloziella rappii,,G1G2
Cephaloziella rubella var. bifida,,G5T3?
Cephaloziella rubella var. elegans,,G5T3?
Cephaloziella rubella var. sullivantii,,G5T3?Q
Cephaloziella spinicaulis,,G3G4
Cephaloziella turneri,,G2G4
Cephaloziella uncinata,,G2G4
Cephaloziella uncinata var. sphagnicola,,G2G4TU
Cephaloziella uncinata var. uncinata,,G2G4TU
Cerastium aleuticum,Aleutian chickweed,G3
Cerastium arvense ssp. maximum,field chickweed,G5T3?
Cerastium arvense var. villosum,field chickweed,G5T1
Cerastium terrae-novae,mouse-ear chickweed,G1
Ceratolejeunea rubiginosa,,G1G2
Cercocarpus montanus var. blancheae,island mountain mahogany,G5T3
Cercocarpus montanus var. minutiflorus,smooth mountain mahogany,G5T3?
Cercocarpus traskiae,Catalina Island mountain mahogany,G1
Chaenactis alpigena,southern Sierra pincushion,G3?
Chaenactis artemisiifolia,white pincushion,G3?
Chaenactis carphoclinia var. peirsonii,Peirson's pincushion,G5T2
Chaenactis cusickii,Cusick's pincushion,G3
Chaenactis glabriuscula var. heterocarpha,yellow pincushion,G5T3T4
Chaenactis glabriuscula var. lanosa,yellow pincushion,G5T3T4
Chaenactis glabriuscula var. megacephala,yellow pincushion,G5T3?
Chaenactis glabriuscula var. orcuttiana,Orcutt's yellow pincushion,G5T1
Chaenactis nevadensis,Nevada dustymaiden,G3?
Chaenactis parishii,Parish's chaenactis,G3
Chaenactis santolinoides,Santolina pincushion,G2G3
Chaenactis suffrutescens,Shasta chaenactis,G3
Chaenactis thompsonii,Thompson's pincushion,G3
Chaerophyllum procumbens var. shortii,Short's spreading chervil,G5T3T4Q
Chaetopappa effusa,spreading leastdaisy,G3
Chaetopappa hersheyi,Guadalupe leastdaisy,G3
Chaetopappa imberbis,awnless leastdaisy,G3
Chamaebatia foliolosa,mountain misery,G3?
Chamaecrista deeringiana,Florida Keys sensitive pea,G2G4Q
Chamaecrista fasciculata var. macrosperma,partridge pea,G5T3
Chamaecrista glandulosa var. mirabilis,Jamaican broom,GNRT1
Chamaecrista lineata var. keyensis,narrowpod sensitive pea,G5T2
Chamaesyce arnottiana,'akoko,G1
Chamaesyce astyla,alkali sandmat,G2
Chamaesyce atrococca,koko,G2
Chamaesyce carunculata,sanddune sandmat,G3G4
Chamaesyce celastroides,'ekoko,G3
Chamaesyce celastroides var. amplectens,'ekoko,G3T3
Chamaesyce celastroides var. celastroides,'ekoko,G3T3
Chamaesyce celastroides var. hanapepensis,'ekoko,G3T3
Chamaesyce celastroides var. kaenana,'ekoko,G3T1
Chamaesyce celastroides var. laehiensis,'ekoko,G3T1
Chamaesyce celastroides var. lorifolia,'ekoko,G3T2
Chamaesyce celastroides var. stokesii,'ekoko,G3T1
Chamaesyce celastroides var. tomentella,'ekoko,G3TH
Chamaesyce chaetocalyx var. triligulata,bristlecup sandmat,G5T1
Chamaesyce clusiifolia,forest sandmat,G3
Chamaesyce conferta,Everglade Key sandmat,G3
Chamaesyce cumulicola,coastal dune sandmat,G2
Chamaesyce degeneri,beach sandmat,G3
Chamaesyce deltoidea,wedge sandmat,G2
Chamaesyce deltoidea ssp. adhaerens,wedge sandmat,G2T1
Chamaesyce deltoidea ssp. deltoidea,wedge sandmat,G2T1
Chamaesyce deltoidea ssp. pinetorum,wedge sandmat,G2T1
Chamaesyce deltoidea ssp. serpyllum,wedge sandmat,G2T1
Chamaesyce deppeana,Oahu sandmat,G1
Chamaesyce eleanoriae,Na Pali sandmat,G1
Chamaesyce garberi,Garber's sandmat,G1
Chamaesyce geyeri var. wheeleriana,Geyer's sandmat,G5T2
Chamaesyce golondrina,boquillas sandmat,G2
Chamaesyce halemanui,Kauai sandmat,G1
Chamaesyce herbstii,Herbst's sandmat,G1
Chamaesyce hooveri,Hoover's sandmat,G2
Chamaesyce jejuna,dwarf sandmat,G2
Chamaesyce keyensis,sandmat,G1Q
Chamaesyce kuwaleana,kokomalei,G1
Chamaesyce multiformis,variable sandmat,G3
Chamaesyce multiformis var. microphylla,variable sandmat,G3T2T3
Chamaesyce multiformis var. multiformis,variable sandmat,G3T2
Chamaesyce ocellata ssp. rattanii,Rattan's sandmat,G4T1T2
Chamaesyce olowaluana,alpine sandmat,G2
Chamaesyce parishii,Parish's sandmat,G3?
Chamaesyce perennans,perennial sandmat,G3
Chamaesyce platysperma,flatseed sandmat,G3
Chamaesyce porteriana,Porter's sandmat,G2
Chamaesyce porteriana var. porteriana,Porter's sandmat,G2T2
Chamaesyce porteriana var. scoparia,Porter's sandmat,G2T2
Chamaesyce remyi,Remy's sandmat,G1
Chamaesyce remyi var. hanaleiensis,Remy's sandmat,G1TH
Chamaesyce remyi var. kauaiensis,Remy's sandmat,G1T1
Chamaesyce remyi var. remyi,Remy's sandmat,G1T1
Chamaesyce rockii,Koolau Range sandmat,G1
Chamaesyce simulans,mimicking sandmat,G3
Chamaesyce skottsbergii,coastal sandmat,G2
Chamaesyce skottsbergii var. skottsbergii,coastal sandmat,G2T2
Chamaesyce skottsbergii var. vaccinioides,coastal sandmat,G2T1
Chamaesyce sparsiflora,wahiawa bog sandmat,G1
Chamaesyce vallis-mortae,Death Valley sandmat,G3
Charpentiera densiflora,Napali coast papala,G1
Charpentiera elliptica,ellipticleaf papala,G2G3
Charpentiera obovata,broadleaf papala,G3
Charpentiera ovata,Koolau Range papala,G3
Charpentiera ovata var. niuensis,Koolau Range papala,G3T2
Charpentiera ovata var. ovata,Koolau Range papala,G3T3
Charpentiera tomentosa,Waianae Range papala,G2G3
Charpentiera tomentosa var. maakuaensis,Waianae Range papala,G2G3T2
Charpentiera tomentosa var. tomentosa,Waianae Range papala,G2G3T2
Chasmanthium nitidum,shiny woodoats,G3G4
Cheilanthes clevelandii,Cleveland's lipfern,G3G4
Cheilanthes cooperae,Cooper's lipfern,G3?
Cheilanthes viscida,viscid lipfern,G3?
Cheilanthes yavapensis,graceful lipfern,G3?
Cheilolejeunea evansii,,G1G2
Cheilolejeunea myriantha,,G3G4
Cheilolejeunea polyantha,,G2G3
Cheilolejeunea polyantha var. caduciloba,,G2G3T2T3
Cheilolejeunea polyantha var. polyantha,,G2G3T2?
Cheirodendron dominii,Domin's club,G1
Cheirodendron fauriei,Faurie's club,G3
Cheirodendron forbesii,olapa,G2
Cheirodendron platyphyllum,lapalapa,G2G3
Cheirodendron platyphyllum ssp. kauaiense,lapalapa,G2G3T2T3
Cheirodendron platyphyllum ssp. platyphyllum,lapalapa,G2G3T2
Cheirodendron trigynum,olapalapa,G3
Cheirodendron trigynum ssp. helleri,olapalapa,G3T2T3
Cheirodendron trigynum ssp. trigynum,olapalapa,G3T3
Chelone cuthbertii,Cuthbert's turtlehead,G3
Chelone obliqua var. erwiniae,Erwin's red turtlehead,G4T2T4Q
Chelone obliqua var. obliqua,red turtlehead,G4T3T4Q
Chelone obliqua var. speciosa,red turtlehead,G4T3
Chenopodium cycloides,sandhill goosefoot,G3G4
Chenopodium foggii,Fogg's goosefoot,G2G3
Chenopodium incanum var. occidentale,mealy goosefoot,G5T2T4
Chenopodium littoreum,coastal goosefoot,G2
Chenopodium nevadense,Nevada goosefoot,G3G4
Chenopodium oahuense,alaweo,G3
Chenopodium subglabrum,smooth goosefoot,G3G4
Chiloscyphus gemmiparus,,G1Q
Chionanthus pygmaeus,pygmy fringetree,G2G3
Chloris texensis,Texas windmill grass,G2
Chlorocrambe hastata,spearhead,G3?
Chlorogalum grandiflorum,red hills soap plant,G3
Chlorogalum pomeridianum var. divaricatum,wavyleaf soap plant,G5T3?
Chlorogalum pomeridianum var. minus,wavyleaf soap plant,G5T2
Chlorogalum purpureum,purple amole,G2
Chlorogalum purpureum var. purpureum,purple amole,G2T2
Chlorogalum purpureum var. reductum,Camatta Canyon amole,G2T1
Chorizanthe angustifolia,narrowleaf spineflower,G2G3
Chorizanthe biloba,twolobe spineflower,G3
Chorizanthe biloba var. biloba,twolobe spineflower,G3T3
Chorizanthe biloba var. immemora,San Benito spineflower,G3T1?
Chorizanthe blakleyi,Blakley's spineflower,G2G3
Chorizanthe brevicornu var. spathulata,brittle spineflower,G5T2T4
Chorizanthe breweri,San Luis Obispo spineflower,G2
Chorizanthe clevelandii,Cleveland's spineflower,G3?
Chorizanthe cuspidata,San Francisco spineflower,G2
Chorizanthe cuspidata var. cuspidata,San Francisco spineflower,G2T2
Chorizanthe cuspidata var. villosa,San Francisco spineflower,G2T2
Chorizanthe diffusa,diffuse spineflower,G3?
Chorizanthe douglasii,Douglas' spineflower,G3
Chorizanthe fimbriata,fringed spineflower,G3G4
Chorizanthe fimbriata var. fimbriata,fringed spineflower,G3G4T3?
Chorizanthe fimbriata var. laciniata,fringed spineflower,G3G4T2T3
Chorizanthe howellii,Mendocino spineflower,G1
Chorizanthe membranacea,pink spineflower,G3G4
Chorizanthe obovata,spoonsepal spineflower,G3?
Chorizanthe orcuttiana,San Diego spineflower,G1
Chorizanthe palmeri,Palmer's spineflower,G3?
Chorizanthe parryi,San Bernardino spineflower,G2
Chorizanthe parryi var. fernandina,San Fernando Valley spineflower,G2T1
Chorizanthe parryi var. parryi,San Bernardino spineflower,G2T2
Chorizanthe polygonoides var. longispina,knotweed spineflower,G5T3
Chorizanthe polygonoides var. polygonoides,knotweed spineflower,G5T3?
Chorizanthe pungens,Monterey spineflower,G2
Chorizanthe pungens var. hartwegiana,Hartweg's spineflower,G2T1
Chorizanthe pungens var. pungens,Monterey spineflower,G2T2
Chorizanthe rectispina,prickly spineflower,G1
Chorizanthe robusta,robust spineflower,G2
Chorizanthe robusta var. hartwegii,robust spineflower,G2T1
Chorizanthe robusta var. robusta,robust spineflower,G2T1
Chorizanthe spinosa,Mojave spineflower,G3
Chorizanthe stellulata,starlet spineflower,G3?
Chorizanthe uniaristata,oneawn spineflower,G3?
Chorizanthe valida,Sonoma spineflower,G1
Chorizanthe ventricosa,Priest Valley spineflower,G3
Chorizanthe wheeleri,Santa Barbara spineflower,G3
Chorizanthe xanti var. leucotheca,Riverside spineflower,G4T2
Chrysolepis chrysophylla var. minor,giant chinquapin,G5T3T4
Chrysophyllum pauciflorum,camito de perro,G3
Chrysopsis floridana,Florida goldenaster,G1
Chrysopsis godfreyi,Godfrey's goldenaster,G2
Chrysopsis gossypina ssp. cruiseana,cottony goldenaster,G5T2
Chrysopsis latisquamea,pineland goldenaster,G3?
Chrysopsis linearifolia ssp. dressii,Dress' goldenaster,G4?T3?
Chrysothamnus eremobius,pintwater rabbitbrush,G1
Chrysothamnus molestus,Arizona rabbitbrush,G3
Chrysothamnus spathulatus,Guadalupe rabbitbrush,G3
Chrysothamnus viscidiflorus ssp. planifolius,yellow rabbitbrush,G5T2T3
Cibotium chamissoi,Chamisso's manfern,G3
Cibotium glaucum,hapu'u,G3
Cibotium nealiae,Neal's manfern,G2G3
Cicuta maculata var. bolanderi,spotted water hemlock,G5T3T4
Cicuta maculata var. victorinii,spotted water hemlock,G5T3
Cinna bolanderi,Bolander's woodreed,G2
Cirsium andrewsii,Franciscan thistle,G2
Cirsium aridum,desert thistle,G2Q
Cirsium barnebyi,Barneby's thistle,G3G4
Cirsium brevifolium,Palouse thistle,G3
Cirsium ciliolatum,Ashland thistle,G3
Cirsium clavatum,Fish Lake thistle,G3
Cirsium clokeyi,whitespine thistle,G2
Cirsium crassicaule,slough thistle,G2
Cirsium fontinale,fountain thistle,G2
Cirsium fontinale var. campylon,Mt. Hamilton thistle,G2T2
Cirsium fontinale var. fontinale,fountain thistle,G2T1
Cirsium fontinale var. obispoense,Chorro Creek Bog thistle,G2T2
Cirsium hillii,Hill's thistle,G3
Cirsium horridulum var. vittatum,yellow thistle,G5T3T4
Cirsium hydrophilum,Suisun thistle,G2
Cirsium hydrophilum var. hydrophilum,Suisun thistle,G2T1
Cirsium hydrophilum var. vaseyi,Vasey's thistle,G2T2
Cirsium kamtschaticum,Kamchatka thistle,G3?
Cirsium lecontei,Le Conte's thistle,G2G3
Cirsium loncholepis,la graciosa thistle,G1
Cirsium longistylum,longstyle thistle,G2G3
Cirsium modestum,lacy thistle,GHQ
Cirsium mohavense,Mojave thistle,G2G3
Cirsium murdockii,Murdock's thistle,G2G3
Cirsium occidentale,cobwebby thistle,G3G4
Cirsium occidentale var. californicum,cobwebby thistle,G3G4T3T4
Cirsium occidentale var. candidissimum,snowy thistle,G3G4T3?
Cirsium occidentale var. compactum,compact cobwebby thistle,G3G4T2
Cirsium occidentale var. occidentale,cobwebby thistle,G3G4T3T4
Cirsium occidentale var. venustum,cobwebby thistle,G3G4T3T4
Cirsium ownbeyi,Ownbey's thistle,G3
Cirsium parryi ssp. mogollonicum,Mogollon thistle,G4T1
Cirsium perplexans,Rocky Mountain thistle,G2G3
Cirsium pitcheri,sand dune thistle,G2G3
Cirsium praeteriens,Palo Alto thistle,GX
Cirsium quercetorum,Alameda County thistle,G3?
Cirsium rhothophilum,surf thistle,G1
Cirsium rothrockii,Rothrock's thistle,G3?
Cirsium rusbyi,Rusby's thistle,G1G2Q
Cirsium rydbergii,Rydberg's thistle,G3
Cirsium scapanolepis,mountain slope thistle,G1G2Q
Cirsium turneri,cliff thistle,G3
Cirsium vinaceum,Sacramento Mountain thistle,G2
Cirsium virginense,virgin thistle,G2
Cirsium virginianum,Virginia thistle,G3
Cirsium wheeleri,Wheeler's thistle,G3G4
Cirsium wrightii,Wright's thistle,G2
Cistanthe maritima,seaside pussypaws,G3G4
Cistanthe parryi,Parry's pussypaws,G3G4
Cistanthe parryi var. arizonica,Arizona pussypaws,G3G4T2T3
Cistanthe parryi var. hesseae,Hesse's pussypaws,G3G4T2
Cistanthe parryi var. nevadensis,Nevada pussypaws,G3G4T1T3
Cistanthe parryi var. parryi,Parry's pussypaws,G3G4T3T4
Cistanthe pulchella,Mariposa pussypaws,G1
Cistanthe pygmaea,pygmy pussypaws,G2
Cistanthe quadripetala,fourpetal pussypaws,G3
Cistanthe tweedyi,Tweedy's pussypaws,G3
Claoxylon sandwicense,po'ola,G2
Clarkia affinis,chaparral clarkia,G3G4
Clarkia amoena ssp. whitneyi,Whitney's clarkia,G5T2
Clarkia australis,Small's southern clarkia,G2
Clarkia biloba ssp. australis,Mariposa clarkia,G4G5T2T3
Clarkia borealis,northern clarkia,G3
Clarkia borealis ssp. arida,Shasta clarkia,G3T2
Clarkia borealis ssp. borealis,northern clarkia,G3T3
Clarkia breweri,fairy fans,G3
Clarkia davyi,Davy's clarkia,G3?
Clarkia delicata,Campo clarkia,G3
Clarkia exilis,Kern River clarkia,G3
Clarkia franciscana,Presidio clarkia,G1
Clarkia gracilis ssp. albicaulis,whitestem clarkia,G5T2
Clarkia gracilis ssp. tracyi,Tracy's clarkia,G5T3
Clarkia imbricata,Vine Hill clarkia,G1
Clarkia jolonensis,Jolon clarkia,G2
Clarkia lewisii,Lewis' clarkia,G3
Clarkia lingulata,Merced clarkia,G1
Clarkia mildrediae,Mildred's clarkia,G3
Clarkia mildrediae ssp. lutescens,Mildred's clarkia,G3T3
Clarkia mildrediae ssp. mildrediae,Mildred's clarkia,G3T3
Clarkia mosquinii,Mosquin's clarkia,G2
Clarkia prostrata,prostrate clarkia,G3?
Clarkia purpurea ssp. purpurea,winecup clarkia,G5T2?
Clarkia purpurea ssp. viminea,winecup clarkia,G5T3
Clarkia rostrata,beaked clarkia,G2
Clarkia speciosa ssp. immaculata,Pismo clarki,G4T1
Clarkia speciosa ssp. nitens,redspot clarkia,G4T3?
Clarkia speciosa ssp. polyantha,redspot clarkia,G4T3T4
Clarkia speciosa ssp. speciosa,redspot clarkia,G4T3T4
Clarkia springvillensis,Springville clarkia,G2
Clarkia stellata,Lake Almanor clarkia,G3
Clarkia tembloriensis,Temblor Range clarkia,G3
Clarkia tembloriensis ssp. calientensis,Vasek's clarkia,G3T1
Clarkia tembloriensis ssp. tembloriensis,Temblor Range clarkia,G3T3
Clarkia virgata,Sierra clarkia,G3
Clarkia williamsonii,Fort Miller clarkia,G3?
Clarkia xantiana ssp. parviflora,Kern Canyon clarkia,G4T3
Claytonia arctica,arctic springbeauty,G3
Claytonia gypsophiloides,gypsum springbeauty,G3?
Claytonia heterophylla,variableleaf springbeauty,G2G4Q
Claytonia lanceolata var. pacifica,Pacific springbeauty,G5T3T4
Claytonia lanceolata var. peirsonii,Peirson's springbeauty,G5T2Q
Claytonia megarhiza var. nivalis,alpine springbeauty,G4G5T3
Claytonia ogilviensis,Ogilvie Mountain springbeauty,G3
Claytonia palustris,Jonesville springbeauty,G3
Claytonia parviflora ssp. grandiflora,streambank springbeauty,G5T3
Claytonia saxosa,Brandegee's springbeauty,G2
Claytonia scammaniana,Scamman's springbeauty,G3G4
Claytonia tuberosa var. tuberosa,tuberous springbeauty,G4T2T4
Claytonia virginica var. hammondiae,Hammond's claytonia,G5T1
Claytonia washingtoniana,Washington springbeauty,G2G4
Clematis addisonii,Addison's leather flower,G1?
Clematis coactilis,Virginia whitehair leather flower,G3
Clematis hirsutissima var. arizonica,Arizona clematis,G4T2?Q
Clematis ligusticifolia var. californica,California clematis,G5T3T4Q
Clematis morefieldii,Huntsville vasevine,G2
Clematis palmeri,Palmer's leather flower,G2?Q
Clematis pauciflora,ropevine clematis,G3G4
Clematis socialis,Alabama leather flower,G1
Clematis texensis,scarlet leather flower,G3
Clematis viticaulis,Millboro leather flower,G1
Cleome lutea var. jonesii,Jones spiderflower,G5T1T3
Cleome multicaulis,slender spiderflower,G2G3
Cleome sparsifolia,fewleaf spiderflower,G3?
Cleomella brevipes,shortstalk stinkweed,G3G4
Cleomella longipes,Chiricahua Mountain stinkweed,G3G4
Cleomella obtusifolia,Mojave cleomella,G3G4
Cleomella palmeriana,Rocky Mountain stickweed,G3G4
Cleomella parviflora,slender cleomella,G3G4
Clermontia arborescens,'oha wai nui,G3
Clermontia arborescens ssp. arborescens,'oha wai nui,G3T1
Clermontia arborescens ssp. waihiae,'oha wai nui,G3T2
Clermontia arborescens ssp. waikoluensis,'oha wai nui,G3T1T2
Clermontia calophylla,lava clermontia,G1
Clermontia clermontioides,Kauai clermontia,G3
Clermontia clermontioides ssp. clermontioides,Kauai clermontia,G3T3
Clermontia clermontioides ssp. rockiana,Kauai clermontia,G3T3
Clermontia drepanomorpha,Kohala Mountain clermontia,G1
Clermontia fauriei,haha'aiakamanu,G3G4
Clermontia fulva,yellowflower clermontia,G1G3Q
Clermontia grandiflora,bog clermontia,G3
Clermontia grandiflora ssp. grandiflora,bog clermontia,G3T3
Clermontia grandiflora ssp. maxima,bog clermontia,G3T1?
Clermontia grandiflora ssp. munroi,bog clermontia,G3T3
Clermontia hawaiiensis,'oha kepau,G3
Clermontia kakeana,forest clermontia,G3
Clermontia kohalae,Waipio Valley clermontia,G3
Clermontia lindseyana,hillside clermontia,G1
Clermontia micrantha,Maui clermontia,G3
Clermontia montis-loa,Mauna Loa clermontia,G3
Clermontia multiflora,Waihee clermontia,GH
Clermontia oblongifolia,Oahu clermontia,G3
Clermontia oblongifolia ssp. brevipes,Oahu clermontia,G3T1
Clermontia oblongifolia ssp. mauiensis,Oahu clermontia,G3T1
Clermontia oblongifolia ssp. oblongifolia,Oahu clermontia,G3T3
Clermontia pallida,Wailai Pali clermontia,G3
Clermontia parviflora,smallflower clermontia,G3
Clermontia peleana,pele clermontia,G1
Clermontia persicifolia,Waioiani clermontia,G2
Clermontia pyrularia,Hamakua clermontia,G1
Clermontia samuelii,Hana clermontia,G1
Clermontia samuelii ssp. hanaensis,Hana clermontia,G1T1
Clermontia samuelii ssp. samuelii,Hana clermontia,G1T1
Clermontia tuberculata,Haleakala clermontia,G1
Clermontia waimeae,swampforest clermontia,G1
Clinopodium ashei,Ashe's calamint,G3
Clinopodium chandleri,San Miguel calamint,G2
Clinopodium dentatum,Florida calamint,G3
Clinopodium glabellum,Ozark calamint,G3Q
Clinopodium mimuloides,monkeyflower savory,G3
Clitoria fragrans,sweetscented pigeonwings,G3
Clusia clusioides,cupeillo,G3
Cneoridium dumosum,bush rue,G2G3
Coccoloba pallida,pale seagrape,G1Q
Coccoloba rugosa,ortegon,G2
Coccothrinax barbadensis,Puerto Rico silver palm,G3
Cochlearia sessilifolia,sessileleaf scurvygrass,G1G2Q
Coelorachis tuberculosa,bumpy jointtail grass,G3
Collinsia bartsiifolia,white blue eyed Mary,G3G4
Collinsia callosa,desertmountain blue eyed Mary,G3?
Collinsia childii,Child's blue eyed Mary,G3?
Collinsia concolor,Chinese houses,G3?
Collinsia corymbosa,roundhead Chinese houses,G1
Collinsia greenei,Greene's blue eyed Mary,G3G4
Collinsia heterophylla var. austromontana,purple Chinese houses,G5T2T4
Collinsia linearis,narrowleaf blue eyed Mary,G3?
Collinsia multicolor,San Francisco blue eyed Mary,G2
Collinsia parryi,Parry's blue eyed Mary,G2G3
Collinsia rattanii ssp. glandulosa,sticky blue eyed Mary,G5T3T4
Collinsia sparsiflora var. arvensis,spinster's blue eyed Mary,G4T3T4
Collinsia tinctoria,sticky Chinese houses,G3?
Collinsia torreyi,Torrey's blue eyed Mary,G3?
Collinsonia serotina,Blue Ridge horsebalm,G3G4
Collinsonia tuberosa,deepwoods horsebalm,G3G4
Collinsonia verticillata,stoneroot,G3G4
Collomia debilis var. camporum,alpine collomia,G5T2
Collomia diversifolia,serpentine collomia,G3
Collomia macrocalyx,bristleflower collomia,G3G4
Collomia mazama,Mt. Mazama collomia,G3
Collomia rawsoniana,flaming trumpet,G2
Collomia renacta,Barren Valley collomia,G1
Collomia tracyi,Tracy's collomia,G3
Cololejeunea contractiloba,,G3G4
Cololejeunea macounii,,G3G4
Cololejeunea minutissima ssp. myriocarpa,,G5T3?
Cololejeunea ornata,,G2G4
Cololejeunea setiloba,,G2?
Cololejeunea subcristata,,G1
Colubrina cubensis,Cuban nakedwood,G2G3
Colubrina cubensis var. floridana,Cuban nakedwood,G2G3T1
Colubrina oppositifolia,kauila,G1
Colubrina stricta,comal nakedwood,G2
Comarostaphylis diversifolia,summer holly,G3
Comarostaphylis diversifolia ssp. diversifolia,summer holly,G3T2
Comarostaphylis diversifolia ssp. planifolia,summer holly,G3T3
Condalia globosa var. pubescens,bitter snakewood,G5T3T4
Condalia hookeri var. edwardsiana,Edwards' bluewood,G5T1Q
Coniogramme pilosa,loulu,G3
Conioselinum mexicanum,Mexican hemlockparsley,G2?
Conradina etonia,Etoniah rosemary,G1
Conradina glabra,Apalachicola false rosemary,G1
Conradina grandiflora,largeflower false rosemary,G3
Conradina verticillata,Cumberland false rosemary,G3
Cooperia jonesii,Jones' rainlily,G3Q
Cooperia smallii,Small's rainlily,G1G2Q
Cooperia traubii,Traub's rainlily,G3
Coprosma cymosa,Hawai'i mirrorplant,G3
Coprosma elliptica,bog mirrorplant,G2
Coprosma ernodeoides,'aiakanene,G3
Coprosma foliosa,forest mirrorplant,G3
Coprosma kauensis,koi,G3
Coprosma longifolia,Oahu mirrorplant,G3
Coprosma menziesii,hupilo,G3
Coprosma montana,alpine mirrorplant,G3
Coprosma ochracea,Maui mirrorplant,G3
Coprosma pubens,pubescent mirrorplant,G3
Coprosma rhynchocarpa,woodland mirrorplant,G3
Coprosma ternata,Molokai mirrorplant,G2?
Coprosma waimeae,'olena,G3
Corallorhiza bentleyi,Bentley's coralroot,G1G2
Corallorhiza maculata var. ozettensis,summer coralroot,G5T1T3
Corallorhiza odontorhiza var. pringlei,autumn coralroot,G5T2T4
Cordia bellonis,serpentine manjack,G1
Cordia borinquensis,muneco,G2
Cordia rupicola,Puerto Rico manjack,G1
Cordylanthus eremicus,desert bird's-beak,G3?
Cordylanthus eremicus ssp. eremicus,desert bird's-beak,G3?T3?
Cordylanthus eremicus ssp. kernensis,Kern Plateau bird's-beak,G3?T2
Cordylanthus kingii ssp. densiflorus,King's bird's-beak,G5T3?
Cordylanthus kingii ssp. kingii,King's bird's-beak,G5T3
Cordylanthus laxiflorus,nodding bird's-beak,G2G4
Cordylanthus maritimus ssp. maritimus,saltmarsh bird's-beak,G4?T1
Cordylanthus maritimus ssp. palustris,Pt. Reyes bird's-beak,G4?T2
Cordylanthus mollis,soft bird's-beak,G2
Cordylanthus mollis ssp. hispidus,hispid bird's-beak,G2T2
Cordylanthus mollis ssp. mollis,soft bird's-beak,G2T1
Cordylanthus nevinii,Nevin's bird's-beak,G2G4
Cordylanthus nidularius,Mt. Diablo bird's-beak,G1
Cordylanthus orcuttianus,Orcutt's bird's-beak,G2?
Cordylanthus palmatus,palmbract bird's-beak,G1
Cordylanthus pilosus,hairy bird's-beak,G3?
Cordylanthus pilosus ssp. hansenii,Hansen's bird's beak,G3?T3?
Cordylanthus pilosus ssp. pilosus,hairy bird's beak,G3?T1T3
Cordylanthus pilosus ssp. trifidus,hairy bird's beak,G3?T1T3
Cordylanthus pringlei,Pringle's bird's beak,G2?
Cordylanthus rigidus ssp. brevibracteatus,stiffbranch bird's beak,G5T3
Cordylanthus rigidus ssp. littoralis,seaside bird's beak,G5T2
Cordylanthus tecopensis,Tecopa bird's beak,G2
Cordylanthus tenuis ssp. barbatus,Fresno County bird's beak,G4G5T3
Cordylanthus tenuis ssp. brunneus,serpentine bird's beak,G4G5T3
Cordylanthus tenuis ssp. capillaris,Pennell's bird's beak,G4G5T1
Cordylanthus tenuis ssp. pallescens,pallid bird's beak,G4G5T1
Cordylanthus wrightii ssp. kaibabensis,Kaibab bird's beak,G4G5T1T3
Coreocarpus arizonicus,little lemonhead,G3G4
